CCTV央视,#genre#
CCTV-6电影,http://61.138.128.226:19901/tsfile/live/0006_1.m3u8

CCTV-7国防军事,https://epg.pw/stream/085cc8320b47039f91c89f261b3bde134c04438bf58155988cdd2120c8ae5c1c.m3u8
CCTV-7国防军事,http://58.220.219.14:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV-7国防军事,https://piccpndali.v.myalicdn.com/audio/cctv7_2.m3u8
CCTV-7国防军事,http://gmxw.7766.org:808/hls/25/index.m3u8
CCTV-7国防军事,http://61.138.167.36:9901/tsfile/live/0007_1.m3u8

CCTV-8电视剧,http://58.220.219.14:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV-8电视剧,https://piccpndali.v.myalicdn.com/audio/cctv8_2.m3u8
CCTV-8电视剧,https://epg.pw/stream/9e5ef6be8ac32d23db431bdc8d9d49531b4bdf96d53db08dd102919b70f12e88.m3u8
CCTV-8电视剧,http://gmxw.7766.org:808/hls/96/index.m3u8
CCTV-8电视剧,http://61.138.167.36:9901/tsfile/live/0008_1.m3u8

CCTV-9纪录,https://piccpndali.v.myalicdn.com/audio/cctv9_2.m3u8
CCTV-9纪录,https://epg.pw/stream/468810bb8a5aea0738c0e707e4b0ed227aeb431a11a977aa1a43fd542997f525.m3u8
CCTV-9纪录,http://58.220.219.14:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV-9纪录,http://gmxw.7766.org:808/hls/27/index.m3u8
CCTV-9纪录,http://61.138.167.36:9901/tsfile/live/0009_1.m3u8
CCTV-9纪录,http://61.136.67.238:50085/tsfile/live/0010_1.m3u8
CCTV-9纪录,http://113.57.20.158:9901/tsfile/live/1028_1.m3u8

CCTV-10科教,https://piccpndali.v.myalicdn.com/audio/cctv10_2.m3u8
CCTV-10科教,http://58.220.219.14:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV-10科教,https://epg.pw/stream/6ef5ffbb8c7555a1beee3d70767d5f42614470f8a2b7344cc478e75a0fe444a1.m3u8
CCTV-10科教,http://gmxw.7766.org:808/hls/28/index.m3u8
CCTV-10科教,http://61.138.167.36:9901/tsfile/live/0010_1.m3u8
CCTV-10科教,http://113.57.20.158:9901/tsfile/live/1029_1.m3u8

CCTV-11戏曲,https://epg.pw/stream/6ba4b8f02bff74ce5171e23abaeba2663203fa82ab49744698d429566f706afe.m3u8
CCTV-11戏曲,http://58.220.219.14:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV-11戏曲,http://gmxw.7766.org:808/hls/29/index.m3u8
CCTV-11戏曲,http://61.138.167.36:9901/tsfile/live/0011_1.m3u8

CCTV-12社会与法,https://piccpndali.v.myalicdn.com/audio/cctv12_2.m3u8
CCTV-12社会与法,http://gmxw.7766.org:808/hls/30/index.m3u8
CCTV-12社会与法,http://61.138.167.36:9901/tsfile/live/0012_1.m3u8
CCTV-12社会与法,http://58.220.219.14:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV-12社会与法,http://42.48.50.232:9002/tsfile/live/0012_1.m3u8
CCTV-12社会与法,https://epg.pw/stream/06025da15ba23cad6264166f6216c1cfb7f9bd2e1e759e6eab92ed6fb62f7daa.m3u8

CCTV-13新闻,http://120.224.178.16:9901/tsfile/live/0013_1.m3u8
CCTV-13新闻,http://223.241.247.214:9901/tsfile/live/0013_1.m3u8
CCTV-13新闻,https://piccpndali.v.myalicdn.com/audio/cctv13_2.m3u8
CCTV-13新闻,http://58.220.219.14:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV-13新闻,http://124.128.73.58:9901/tsfile/live/0013_1.m3u8
CCTV-13新闻,http://61.136.172.236:9901/tsfile/live/0013_1.m3u8
CCTV-13新闻,http://gmxw.7766.org:808/hls/31/index.m3u8
CCTV-13新闻,http://59.173.243.210:9901/tsfile/live/1013_1.m3u8
CCTV-13新闻,https://epg.pw/stream/40a9e2982bc945aca7ceebc0664c69c3da53d8b7169e7edee6383656ab72004b.m3u8
CCTV-13新闻,http://61.138.167.36:9901/tsfile/live/0013_1.m3u8

CCTV-14少儿,https://epg.pw/stream/81b7797c31f3ca9a91e207b707f88027d93cf50d35999fc2e33c24e9bf30d709.m3u8
CCTV-14少儿,https://piccpndali.v.myalicdn.com/audio/cctv14_2.m3u8
CCTV-14少儿,http://58.220.219.14:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV-14少儿,http://gmxw.7766.org:808/hls/32/index.m3u8
CCTV-14少儿,http://61.138.167.36:9901/tsfile/live/0014_1.m3u8

CCTV-15音乐,http://218.13.170.98:9901/tsfile/live/0015_1.m3u8
CCTV-15音乐,https://piccpndali.v.myalicdn.com/audio/cctv15_2.m3u8
CCTV-15音乐,http://120.224.178.16:9901/tsfile/live/0015_1.m3u8
CCTV-15音乐,http://59.173.243.210:9901/tsfile/live/1015_1.m3u8
CCTV-15音乐,http://61.138.167.36:9901/tsfile/live/0015_1.m3u8
CCTV-15音乐,http://58.220.219.14:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV-15音乐,http://gmxw.7766.org:808/hls/102/index.m3u8

CCTV-16奥林匹克,https://epg.pw/stream/9eeb49b6d1048ea7c05421a7409300f43ed5695e937a78feb1cc9eb1cb4de5b4.m3u8
CCTV-16奥林匹克,https://piccpndali.v.myalicdn.com/audio/cctv16_2.m3u8
CCTV-16奥林匹克,http://59.173.243.210:9901/tsfile/live/1036_1.m3u8
CCTV-16奥林匹克,http://gmxw.7766.org:808/hls/169/index.m3u8
CCTV-16奥林匹克,http://61.138.167.36:9901/tsfile/live/1061_1.m3u8

CCTV-17农业农村,https://epg.pw/stream/dddefc79612b67b3cf82b2c6e138c410f87628a60ce50a269f6e8dec056c23a8.m3u8
CCTV-17农业农村,http://gmxw.7766.org:808/hls/35/index.m3u8
CCTV-17农业农村,http://61.138.167.36:9901/tsfile/live/1042_1.m3u8

